date,action,code,theme,name,from_exposure,to_exposure,nav
2022-05-31,BUY,600938,中国海油,中国海油,0.0,1.0,0.9995
2022-06-20,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,0.8769572958397542
2022-06-20,SELL,600938,中国海油,中国海油,1.0,0.0,0.8769572958397542
2022-07-22,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,0.8813003993278201
2022-07-22,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.8813003993278201
2022-07-25,BUY,513880,日经ETF,日经225ETF华安,0.0,1.0,0.8813715305428725
2022-07-25,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.8813715305428725
2022-07-26,SELL,513880,日经ETF,日经225ETF华安,1.0,0.0,0.877013201848925
2022-07-26,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.877013201848925
2022-07-27,BUY,513880,日经ETF,日经225ETF华安,0.0,1.0,0.8736748750146289
2022-07-27,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,0.8736748750146289
2022-08-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.8931813296860218
2022-08-09,SELL,513880,日经ETF,日经225ETF华安,1.0,0.0,0.8931813296860218
2022-08-29,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.8636307187740883
2022-08-29,BUY,600938,中国海油,中国海油,0.0,1.0,0.8636307187740883
2022-09-01,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.8013217134583498
2022-09-01,SELL,600938,中国海油,中国海油,1.0,0.0,0.8013217134583498
2022-09-02,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.8108105122040715
2022-09-02,BUY,600938,中国海油,中国海油,0.0,1.0,0.8108105122040715
2022-09-22,SELL,600938,中国海油,中国海油,1.0,0.0,0.8431247982173723
2022-09-23,BUY,511260,十年国债ETF,十年国债ETF,0.0,1.0,0.8427032358182637
2022-09-26,BUY,159985,豆粕,豆粕ETF,0.0,0.8,0.8379054832896012
2022-09-26,SELL,511260,十年国债ETF,十年国债ETF,1.0,0.0,0.8379054832896012
2022-09-28,ADD,159985,豆粕,豆粕ETF,0.8,1.0,0.8459033588273198
2022-10-13,REDUCE,159985,豆粕,豆粕ETF,1.0,0.8,0.8510991353775924
2022-10-14,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.8626109400314362
2022-10-14,BUY,511260,十年国债ETF,十年国债ETF,0.0,1.0,0.8626109400314362
2022-10-18,BUY,159985,豆粕,豆粕ETF,0.0,1.0,0.8619141539110582
2022-10-18,SELL,511260,十年国债ETF,十年国债ETF,1.0,0.0,0.8619141539110582
2022-10-20,REDUCE,159985,豆粕,豆粕ETF,1.0,0.8,0.8648049157339942
2022-10-25,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,0.8675986208789389
2022-10-25,SELL,159985,豆粕,豆粕ETF,0.8,0.0,0.8675986208789389
