date,action,code,theme,name,from_exposure,to_exposure,nav
2012-12-17,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0024200751252088
2013-02-20,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.27,1.120582649341111
2013-02-21,ADD,510300,沪深300,沪深300ETF华泰柏瑞,0.27,1.0,1.0802861481278427
2013-02-22,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.27,1.078994702767485
2013-02-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0750329182317722
2013-02-28,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0846666866029255
2013-03-14,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0684551883581126
2013-03-21,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0690872282185861
2013-04-01,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.055453564540318
2013-05-22,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.056136540708803
2013-05-24,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0443142281785034
2013-05-29,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0402484540747576
2013-05-30,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0397283298477202
2013-08-13,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0392084656827965
2013-08-16,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0244484242136243
2013-09-03,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.022558285400724
2013-09-04,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0212131854457578
2013-09-04,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0212131854457578
2013-09-06,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0083677030297642
2013-09-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0083677030297642
2013-09-10,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.030064609276902
2013-09-10,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.030064609276902
2013-09-18,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0042294030044407
2013-09-18,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0042294030044407
2013-09-24,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0060607692955004
2013-09-24,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0060607692955004
2013-09-26,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0000316449895292
2013-09-26,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0000316449895292
2013-10-24,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9973237498990419
