date,action,code,theme,name,from_exposure,to_exposure,nav
2023-05-16,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,0.9895935766423358
2023-05-17,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,1.0002097806073358
2023-05-17,BUY,513880,日经ETF,日经225ETF华安,0.0,1.0,1.0002097806073358
2023-05-24,SELL,513880,日经ETF,日经225ETF华安,1.0,0.0,0.9958614389897487
2023-05-24,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9958614389897487
2023-07-24,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.1450434674223215
2023-07-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.1450434674223215
2023-07-26,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.137668797995516
2023-07-26,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,1.137668797995516
2023-07-31,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,1.1588328618269719
2023-07-31,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.1588328618269719
2023-08-01,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.1637992883776591
2023-08-01,BUY,510410,资源,资源ETF,0.0,1.0,1.1637992883776591
2023-08-02,SELL,510410,资源,资源ETF,1.0,0.0,1.1465806837163568
2023-08-02,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.1465806837163568
2023-08-03,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.1474599999099395
2023-08-03,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,1.1474599999099395
2023-08-04,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,0.0,1.1527744973532343
2023-08-04,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.1527744973532343
2023-08-08,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.146211629104819
2023-08-08,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,1.146211629104819
2023-08-18,ADD,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,1.0,1.1254740152549099
2023-08-21,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.0,1.1286719805522707
2023-08-21,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.1286719805522707
2023-08-23,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.1221796107215638
2023-08-23,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,1.0,1.1221796107215638
2023-08-24,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.0,1.1204611873968167
2023-08-24,BUY,511580,政金ETF,国债政金债ETF招商,0.0,1.0,1.1204611873968167
2023-08-25,SELL,511580,政金ETF,国债政金债ETF招商,1.0,0.0,1.1181435703525113
2023-08-25,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,1.0,1.1181435703525113
2023-08-30,SELL,512890,红利低波ETF,红利低波ETF华泰柏瑞,1.0,0.0,1.1351803050109859
2023-08-30,BUY,518880,黄金ETF,黄金ETF华安,0.0,1.0,1.1351803050109859
2023-08-31,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.1385148344012876
2023-09-01,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.1371344041651574
2023-09-04,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.1404654404226373
2023-09-05,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.1408575418563485
2023-09-07,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.1397818711125467
2023-09-27,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.137761626716641
2023-09-28,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.1357834018895299
2023-09-28,BUY,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.0,0.8,1.1357834018895299
2023-10-09,ADD,512890,红利低波ETF,红利低波ETF华泰柏瑞,0.8,1.0,1.1320910320885762
