date,nav,strategy_return,current_momentum,signal,holding,exposure,target_exposure,trade_cost_rate,turnover,drawdown
2016-07-18,1.7882406701706872,0.0,,,,0.0,0.0,0.0,0.0,0.0
2016-07-19,1.7790591264096178,0.0,,,,0.0,0.0,0.0,0.0,-0.0051344004832375445
2016-07-20,1.7735032122525516,0.0,,,,0.0,0.0,0.0,0.0,-0.00824131682271212
2016-07-21,1.794408947563977,0.0,,,,0.0,0.0,0.0,0.0,0.0
2016-07-22,1.770018923033981,0.0,,,,0.0,0.0,0.0,0.0,-0.01359223300970891
2016-07-25,1.78569822451755,0.0,,,,0.0,0.0,0.0,0.0,-0.004854368932038944
2016-07-26,1.7946243637449144,0.0,,,,0.0,0.0,0.0,0.0,0.0
2016-07-27,1.7700162304609268,0.0,,,,0.0,0.0,0.0,0.0,-0.013712135966234662
2016-07-28,1.7923997041924364,0.0,,,,0.0,0.0,0.0,0.0,-0.0012396240669750869
2016-07-29,1.7837906758341635,0.0,,,,0.0,0.0,0.0,0.0,-0.0060367440282287355
2016-08-01,1.7923997041924364,0.0,,,,0.0,0.0,0.0,0.0,-0.0012396240669750869
2016-08-02,1.807895955237328,0.0,,,,0.0,0.0,0.0,0.0,0.0
2016-08-03,1.7786252588191998,0.0,,,,0.0,0.0,0.0,0.0,-0.0161904761904762
2016-08-04,1.786733861577063,0.0,,,,0.0,0.0,0.0,0.0,-0.011705371428571532
2016-08-05,1.7850175605248175,0.0,,,,0.0,0.0,0.0,0.0,-0.012654707615354477
2016-08-08,1.8060331990162184,0.0,,,,0.0,0.0,0.0,0.0,-0.001030344813656603
2016-08-09,1.8129198842364904,0.0,,,,0.0,0.0,0.0,0.0,0.0
2016-08-10,1.804311527711151,0.0,,,,0.0,0.0,0.0,0.0,-0.0047483380816714105
2016-08-11,1.804311527711151,0.0,,,,0.0,0.0,0.0,0.0,-0.0047483380816714105
2016-08-12,1.8129198842364904,0.0,,,,0.0,0.0,0.0,0.0,0.0
2016-08-15,1.807248698957597,0.0,,,,0.0,0.0,0.0,0.0,-0.003128205128204997
2016-08-16,1.8082591823446987,0.0,,,,0.0,0.0,0.0,0.0,-0.0025708261751204997
2016-08-17,1.8009625357004249,0.0,,,,0.0,0.0,0.0,0.0,-0.006595629867616193
2016-08-18,1.805649751954285,0.0,,,,0.0,0.0,0.0,0.0,-0.004010178467024339
2016-08-19,1.8054468677840545,0.0,,,,0.0,0.0,0.0,0.0,-0.004122088635804877
