date,single_momentum_nav,hs300_benchmark,thr_4%_def_60%_nav,thr_4%_def_70%_nav,thr_4%_def_80%_nav,thr_5%_def_60%_nav,thr_5%_def_70%_nav,thr_5%_def_80%_nav,thr_6%_def_60%_nav,thr_6%_def_70%_nav,thr_6%_def_80%_nav
2016-05-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-05-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-05-27,1.0,1.0006540222367561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-05-30,1.0,1.0013080444735123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-05-31,1.0,1.036298234139961,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-01,1.0,1.0320470896010465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-02,1.0,1.0330281229561804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-03,1.0,1.0451275343361675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-06,1.0,1.0389143230869848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-07,1.0,1.0389143230869848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-08,1.0,1.0376062786134728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-13,1.0,1.0035971223021583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-14,1.0,1.0078482668410726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-15,1.0,1.0212557226945718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-16,1.0,1.0150425114453892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-17,1.0,1.0192936559843033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-20,1.0,1.0196206671026813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-21,1.0,1.0173315892740353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-22,1.0,1.0235448005232175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-23,1.0,1.0202746893394374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-24,1.0,1.0094833224329627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-27,1.0,1.0222367560497057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-28,1.0,1.027468933943754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-29,1.0,1.0320470896010463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-30,1.0,1.0336821451929363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-01,1.0,1.0327011118378022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-04,1.013838523442967,1.0500327011118376,1.0083048355493351,1.0096884727081876,1.011071966410077,1.0083048355493351,1.0096884727081876,1.011071966410077,1.0083048355493351,1.0096884727081876,1.011071966410077
2016-07-05,1.0106910426871938,1.0526487900588617,1.0100083086330747,1.0113436731650747,1.012678755303691,1.0100083086330747,1.0113436731650747,1.012678755303691,1.0064266547587293,1.007494254916514,1.0085608528681134
2016-07-06,1.0306250874737577,1.05788096795291,1.0150285425374328,1.0163705444824531,1.0177122626304567,1.0150285425374328,1.0163705444824531,1.0177122626304567,1.0183366172475696,1.0214039506850845,1.024474477397797
2016-07-07,1.0267781665500348,1.059189012426422,1.0162836010135223,1.0176272623117977,1.018970639462148,1.0162836010135223,1.0176272623117977,1.018970639462148,1.0160559855292683,1.0187351992699927,1.0214153069189709
2016-07-08,1.0197837648705386,1.0552648790058858,1.0113201494427957,1.0119139576443015,1.0125055900507376,1.0113201494427957,1.0119139576443015,1.0125055900507376,1.011903168149721,1.0138774701181603,1.0158490109684586
2016-07-11,1.0288764870538838,1.05788096795291,1.0167305041517491,1.0182297443483916,1.0197278521471216,1.0167305041517491,1.0182297443483916,1.0197278521471216,1.0173166418887938,1.0202055119412574,1.02309512188346
2016-07-12,1.020832925122463,1.084695879659908,1.0119613399922338,1.0126575149520594,1.0133502204409668,1.0119613399922338,1.0126575149520594,1.0133502204409668,1.0125447283408449,1.0146224702205726,1.0166964304345627
2016-07-13,1.0113904828551432,1.086984957488554,1.0063451105616499,1.0061007396753914,1.0058516371036852,1.0063451105616499,1.0061007396753914,1.0058516371036852,1.0069252611948627,1.0080529722119502,1.0091730858311414
2016-07-14,1.0043960811756472,1.085349901896664,1.0040274892949919,1.003733451829389,1.0034347184482366,1.002169404708697,1.0012302658318728,1.0002867594433604,1.0027471480778716,1.0031730477268301,1.0035898322442471
2016-07-15,1.0054452414275716,1.086657946370176,1.0052375254375587,1.0049431336032117,1.0046440401938808,1.002797505310534,1.0019623631710954,1.0011226536713076,1.0033756107751348,1.0039065656238448,1.0044284867001616
2016-07-18,1.0019480405878236,1.0827338129496398,1.0016074170098577,1.0013140882817437,1.0010160749569483,1.0007047105168425,0.999522802634679,0.9983369210697874,1.0012816095004737,1.0014622713771086,1.001633555258909
2016-07-19,0.9958068344459664,1.0771746239372133,0.9964647634039479,0.9961729407429972,0.9958764575379607,0.9947702384141726,0.9935456200493916,0.9923171695462629,0.9953437162178209,0.9954734906984497,0.9955939257580568
2016-07-20,0.9936906693454436,1.0748855461085671,0.9943472001544554,0.9940559976388075,0.9937601444830834,0.9926562761588904,0.9914342602010777,0.9902084202485021,0.9932285352786816,0.9933580339786897,0.9934782131046547
2016-07-21,1.0043987112341661,1.0807717462393718,1.0050623168398134,1.004767976316703,1.004468935038073,1.0033531713941193,1.0021179869539323,1.0008789373114944,0.9866001909385035,0.9857070777879686,0.9848045573619969
2016-07-22,0.9907466899164201,1.0712884238064089,0.9914012756400489,0.9911109358619128,0.9908159592220216,0.9897153612975002,0.9884969657720342,0.9872747575810468,0.9724115391828394,0.9714826547574741,0.9705445873713952
2016-07-25,0.9995229893349711,1.070961412688031,1.0001833735541832,0.9998904618685636,0.9995928722466261,0.998482524931041,0.9972533365318258,0.9960203016934773,0.968763806040244,0.9673121555536344,0.9658524206291467
2016-07-26,1.005373855614005,1.084695879659908,1.0060381054969394,1.0057434792063307,1.0054441475963625,1.0043273006867348,1.0030909170383535,1.0018506644350977,0.9695853725188648,0.9682692135167262,0.9669445505747344
2016-07-27,1.002448422474488,1.0647482014388483,1.0031107395255614,1.0028169705374472,1.0025185099214944,1.001404912808888,1.0001721267850898,0.9989354830642877,0.9659906653142906,0.9646311133427969,0.9632632210403834
2016-07-28,1.015125299412395,1.0676913015042506,1.0157959920681998,1.0154985081026096,1.0151962731792565,1.0140685936128915,1.0128202178825665,1.0115679356711318,0.9782065005760471,0.9768297558267038,0.9754445652753299
2016-07-29,1.0102495775132,1.0640941792020924,1.0109170487825698,1.0106209936544703,1.0103202103878097,1.0091979471498134,1.0079555674604601,1.0067093000531149,0.9735081023984484,0.9721379702559705,0.9707594328772736
2016-08-01,1.015125299412395,1.0552648790058856,1.0157959920681998,1.0154985081026096,1.0151962731792565,1.0140685936128915,1.0128202178825665,1.0115679356711318,0.9782065005760471,0.9768297558267038,0.9754445652753299
2016-08-02,1.0239015988309461,1.0578809679529098,1.0245780899823342,1.0242780341092605,1.0239731862038612,1.0228357572464324,1.0215765886423582,1.0203134797835625,0.9866636172957248,0.9852749698540242,0.9838778035918314
2016-08-03,1.0073241443736831,1.0591890124264218,1.0079896828111916,1.0076944849855867,1.0073945727129414,1.0062755592719663,1.0050367772071962,1.0037941186823047,0.9706890634918892,0.9693228989135303,0.9679483534384398
