date,action,code,theme,name,from_exposure,to_exposure,nav
2016-07-04,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.011071966410077
2016-07-05,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.012678755303691
2016-07-05,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.012678755303691
2016-07-08,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0125055900507376
2016-07-08,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0125055900507376
2016-07-19,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9923171695462629
2016-07-19,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9923171695462629
2016-07-21,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0008789373114944
2016-07-21,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0008789373114944
2016-08-16,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.016336122015111
2016-08-16,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.016336122015111
2016-08-17,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.011459254387799
2016-08-17,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.011459254387799
2016-08-18,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0147875245236195
2016-08-18,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0147875245236195
2016-09-07,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.007715922192426
2016-09-07,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.007715922192426
2016-09-09,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0005983777279719
2016-09-09,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0005983777279719
2016-10-27,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9740964776238362
2016-10-27,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9740964776238362
2016-10-31,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.974200565685162
2016-10-31,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.974200565685162
2016-11-25,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9547602401064353
2016-11-25,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9547602401064353
2016-11-29,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9333263674947612
2016-11-29,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9333263674947612
2016-11-30,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9239167407533823
2016-11-30,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9239167407533823
2016-12-06,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9022439490383372
2016-12-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9022439490383372
2016-12-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.8913108124037784
2016-12-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.8913108124037784
2016-12-14,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9049399411072123
2016-12-14,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9049399411072123
2016-12-15,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.90023845519822
2016-12-15,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.90023845519822
2017-01-06,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9335293897764784
2017-01-06,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9335293897764784
2017-01-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9366412862635002
2017-01-09,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9366412862635002
2017-01-20,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9612195141589783
2017-01-20,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9612195141589783
2017-02-08,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,0.9766897248938429
2017-02-09,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,0.9817584503391594
2017-02-17,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9950750864663853
2017-02-17,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9950750864663853
2017-02-24,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0147416416172998
2017-02-24,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0147416416172998
2017-02-28,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.015189860433692
2017-02-28,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.015189860433692
2017-03-01,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,1.0087185118082918
2017-03-01,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0087185118082918
2017-03-02,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0093635321201568
2017-03-02,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0093635321201568
2017-03-10,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9976912990501031
2017-03-10,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9976912990501031
2017-03-29,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0255056160411018
2017-04-05,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0157951526871993
2017-04-06,ADD,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.015970719345108
2017-04-20,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0277244863607247
2017-04-21,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0250128012392512
2017-04-25,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0192557597134606
2017-04-26,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0153778455820814
2017-04-28,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0212336213300945
2017-05-02,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0141593341127038
2017-05-26,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.025365854517579
2017-05-26,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.025365854517579
2017-06-02,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0203427422556917
2017-06-02,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0203427422556917
2017-06-12,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0201029798039796
2017-06-12,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0201029798039796
2017-07-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0353886925772235
2017-07-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0353886925772235
2017-07-06,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.033614679788297
2017-07-06,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.033614679788297
2017-07-07,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0283778857390034
2017-07-07,BUY,159949,创业板50,创业板50ETF华安,0.0,1.0,1.0283778857390034
2017-07-10,SELL,159949,创业板50,创业板50ETF华安,1.0,0.0,1.0284661921009308
2017-07-10,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0284661921009308
