date,action,code,theme,name,from_exposure,to_exposure,nav
2012-12-17,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0024200751252088
2013-02-22,REDUCE,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.27,1.083302730595076
2013-02-27,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0793251281151388
2013-02-28,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.088997360569685
2013-03-14,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0727211357924924
2013-03-21,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,0.27,1.0733556991549813
2013-04-01,SELL,510300,沪深300,沪深300ETF华泰柏瑞,0.27,0.0,1.0596676012868445
2013-05-29,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.055542052696546
2013-05-30,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0550142816701977
2013-08-13,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0544867745293627
2013-08-15,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0640928764991722
2013-08-15,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0640928764991722
2013-08-16,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0766907832379284
2013-08-19,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.084522517656357
2013-08-20,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0717354939420607
2013-08-23,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0812155312442384
2013-09-10,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.1019832691476923
2013-09-10,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.1019832691476923
2013-09-18,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0743442600886222
2013-09-18,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0743442600886222
