date,action,code,theme,name,from_exposure,to_exposure,nav
2016-08-22,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9996
2016-09-06,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9978799969294675
2016-09-06,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9978799969294675
2016-09-08,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.996103248729294
2016-09-08,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.996103248729294
2016-10-26,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9660336495275634
2016-10-26,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9660336495275634
2016-10-28,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9616545311730142
2016-10-28,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9616545311730142
2016-11-24,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9357083756477147
2016-11-24,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9357083756477147
2016-11-28,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.949362331455002
2016-11-28,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.949362331455002
2016-11-29,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,0.9451077276526506
2016-11-29,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9451077276526506
2016-12-05,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,0.9153831523210546
2016-12-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9153831523210546
2016-12-08,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9187373761891076
2016-12-08,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9187373761891076
2016-12-13,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,0.9122890133485654
2016-12-13,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9122890133485654
2016-12-14,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,0.9164547079959005
2016-12-14,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9164547079959005
2016-12-28,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0015959507991037
2016-12-28,BUY,511260,十年国债ETF,十年国债ETF,0.0,0.5,1.0015959507991037
2017-01-04,ADD,511260,十年国债ETF,十年国债ETF,0.5,1.0,1.0013455518114038
2017-01-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0004443408147736
2017-01-05,SELL,511260,十年国债ETF,十年国债ETF,1.0,0.0,1.0004443408147736
2017-01-06,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,0.9986338857266369
2017-01-06,BUY,511260,十年国债ETF,十年国债ETF,0.0,1.0,0.9986338857266369
2017-01-19,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,0.9977351152294829
2017-01-19,SELL,511260,十年国债ETF,十年国债ETF,1.0,0.0,0.9977351152294829
2017-02-16,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0157212299244756
2017-02-16,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0157212299244756
2017-02-23,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0444189593587494
2017-02-23,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0444189593587494
2017-03-01,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.04837276202674
2017-03-01,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.04837276202674
2017-03-09,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0433944452368291
2017-03-09,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0433944452368291
2017-03-28,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0694602461138272
2017-03-31,SELL,518880,黄金ETF,黄金ETF华安,1.0,0.0,1.0566786071072385
2017-04-05,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0562559356643957
2017-04-19,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.070972921471235
2017-04-20,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0689811606377657
2017-04-24,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.0595230425792659
2017-04-26,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0552625134504001
2017-04-27,ADD,518880,黄金ETF,黄金ETF华安,0.8,1.0,1.057573953812539
2017-05-02,REDUCE,518880,黄金ETF,黄金ETF华安,1.0,0.8,1.0521846294115045
2017-05-25,BUY,159941,纳指ETF,纳指ETF广发,0.0,1.0,1.0500795224307276
2017-05-25,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0500795224307276
2017-05-26,SELL,159941,纳指ETF,纳指ETF广发,1.0,0.0,1.0627475202386358
2017-05-26,BUY,511260,十年国债ETF,十年国债ETF,0.0,1.0,1.0627475202386358
2017-06-01,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.061791047470421
2017-06-01,SELL,511260,十年国债ETF,十年国债ETF,1.0,0.0,1.061791047470421
2017-06-09,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0617787400343264
2017-06-09,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0617787400343264
2017-06-12,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0586469811635253
2017-06-12,BUY,511260,十年国债ETF,十年国债ETF,0.0,1.0,1.0586469811635253
2017-06-13,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0575883341823618
2017-06-13,SELL,511260,十年国债ETF,十年国债ETF,1.0,0.0,1.0575883341823618
2017-07-04,SELL,510300,沪深300,沪深300ETF华泰柏瑞,1.0,0.0,1.0716597725206722
2017-07-04,BUY,518880,黄金ETF,黄金ETF华安,0.0,0.8,1.0716597725206722
2017-07-05,BUY,510300,沪深300,沪深300ETF华泰柏瑞,0.0,1.0,1.0703767379210227
2017-07-05,SELL,518880,黄金ETF,黄金ETF华安,0.8,0.0,1.0703767379210227
